機能ID,大分類,中分類,機能名,機能概要,対象ユーザー,実装タイプ,主なI/O,,処理タイプ,規模,Phase,,,補足
,,,,,,,IN,OUT,,,Ph1,Ph2,Ph3,
FN-001,基本求人サイト機能,求人検索・閲覧機能,お気に入り登録,気になる求人の保存・管理機能,求職者,画面＋API,job_id,登録結果,同期,M,〇,,,認証必須／最大件数と重複防止／端末間で同期
FN-002,基本求人サイト機能,求人検索・閲覧機能,動画／写真ギャラリー,求人詳細に動画・写真ギャラリー枠を設置（雰囲気の可視化）。,求職者,画面＋API,画像/動画,ギャラリー表示,同期,M,〇,,,CDN最適化／自動サムネ生成／容量・拡張子制限
FN-003,基本求人サイト機能,求人検索・閲覧機能,地図・アクセス機能,勤務地の地図表示、最寄り駅からのアクセス情報,求職者,画面＋API,住所/座標,地図・ルート,同期,M,〇,,,地図API／ストリートビュー／駅→職場ルートリンク
FN-004,基本求人サイト機能,求人検索・閲覧機能,最近見た求人／比較,直近の閲覧履歴から候補を再表示。最大N件を並べて比較できる。,求職者,画面＋API,履歴,候補N件,同期,M,〇,,,未ログイン時はCookie／ログイン時はサーバ同期／比較は最大N件
FN-005,基本求人サイト機能,求人検索・閲覧機能,検索条件保存／求人アラート,保存した条件の新着求人をメール通知（頻度：毎日／毎週を選択可）。お気に入りと連携。,求職者,画面＋API＋バッチ,条件/頻度,メール,スケジュール（毎日）,M,〇,,,夜間配信／配信停止リンク（SES）／退会・配信停止時は抑止
FN-006,基本求人サイト機能,求人検索・閲覧機能,求人シェア／不適切通報,SNS共有・URLコピーに加え、不適切求人の通報フォームを設置（即時対応の窓口整備）。,求職者,画面＋API,job_id,共有URL・通報チケット,同期,M,〇,,,通報はチケット化・優先度付け／スパム対策（reCAPTCHA）
FN-007,基本求人サイト機能,求人検索・閲覧機能,求人一覧表示,検索結果の一覧表示とソート機能,求職者,画面＋API,検索条件,求人一覧,同期,M,〇,,,ページング・ソート／0件時は類似求人フォールバック
FN-008,基本求人サイト機能,求人検索・閲覧機能,求人検索機能,キーワード、職種、勤務地、給与などの条件で求人を検索,求職者,画面＋API,検索条件,求人一覧,同期,M,〇,,,クエリログ計測／条件保存・再利用／精度改善に活用
FN-009,基本求人サイト機能,求人検索・閲覧機能,求人詳細表示,職務内容、待遇、応募条件等の詳細情報表示,求職者,画面＋API,job_id,求人詳細,同期,M,〇,,,類似求人API併用で関連求人を提示
FN-010,基本求人サイト機能,求人検索・閲覧機能,詳細検索機能,勤務時間、休日、雇用形態等の詳細条件での絞り込み,求職者,画面＋API,詳細条件,求人一覧,同期,M,〇,,,絞り込み項目は管理画面で増減可／検索条件の永続化
FN-011,基本求人サイト機能,応募・選考機能,メッセージ機能,企業との連絡・やり取り,求職者,画面＋API,message,送受信履歴,同期,M,,〇,,メール返信連携・履歴保存／将来LINE等も検討
FN-012,基本求人サイト機能,応募・選考機能,履歴書登録,プロフィール情報の登録・更新,求職者,画面＋API,プロフィール,保存結果,同期,M,〇,,,PII保護／ストレージ連携／マスキング方針
FN-013,基本求人サイト機能,応募・選考機能,応募フォーム,簡略化された応募手続き,求職者,画面＋API,応募情報,応募ID,同期,M,〇,,,入力途中保存／確認画面・サンクスメール／reCAPTCHA
FN-014,基本求人サイト機能,応募・選考機能,応募履歴管理,応募状況の確認・管理,求職者,画面＋API,user_id,応募一覧,同期,M,〇,,,並び替え・フィルタ／ステータス凡例を明示
FN-015,基本求人サイト機能,応募・選考機能,通知機能,応募結果、新着求人、面接日程変更等の通知,求職者,API＋バッチ,イベント,通知送達,非同期（バッチ/キュー）,M,〇,,,テンプレ管理／失敗リトライ・重複抑止／配信ログ保管
FN-016,基本求人サイト機能,応募・選考機能,選考状況確認,書類選考、面接等の進捗確認,求職者,画面＋API,応募ID,ステータス,同期,M,〇,,,外部側更新の取り込み方針／変更通知と履歴
FN-017,基本求人サイト機能,応募・選考機能,面接予約／日程変更（カレンダー連携）,応募後の面接日程をユーザーが選択・変更。Google/Outlook招待送付。,求職者,画面＋API,候補日時,予約・招待,同期,M,〇,,,不可時間帯設定／二重予約防止／カレンダー招待送付
FN-018,基本求人サイト機能,ユーザー管理機能,パスワード管理,パスワード変更・リセット機能,求職者,画面＋API,email,リセットリンク,同期,M,〇,,,トークン有効期限／レート制御／二要素認証との整合
FN-019,基本求人サイト機能,ユーザー管理機能,プロフィール管理,個人情報・希望条件の登録・更新,求職者,画面＋API,プロフィール,更新結果,同期,M,〇,,,監査ログ／差分更新API／機微項目の編集権限
FN-020,基本求人サイト機能,ユーザー管理機能,ログイン・認証,セキュアなログイン機能,求職者,画面＋API,email/pass,token,同期,M,〇,,,MFA/SSOオプション／ロックアウト・解除フロー
FN-021,基本求人サイト機能,ユーザー管理機能,会員登録,新規アカウント作成,求職者,画面＋API,email/pass,user_id,同期,M,〇,,,メール認証（ダブルオプトイン）／ボット対策
FN-022,基本求人サイト機能,ユーザー管理機能,退会機能,アカウント削除処理,求職者,画面＋API,user_id,退会結果,同期,M,〇,,,法令に基づく一定期間の保管／遅延削除（猶予）
